model;scenario;region;variable;unit;time;value
FRESH:COM v2.0;Default scenario;Austria;Emissions|CO2;kg CO2/MWh;2019-01-08 04:00+01:00;748.80
FRESH:COM v2.0;Default scenario;Austria;Emissions|CO2;kg CO2/MWh;2019-01-08 05:00+01:00;759.59
FRESH:COM v2.0;Default scenario;Austria;Emissions|CO2;kg CO2/MWh;2019-01-08 06:00+01:00;761.21
FRESH:COM v2.0;Default scenario;Austria;Emissions|CO2;kg CO2/MWh;2019-01-08 07:00+01:00;760.09
FRESH:COM v2.0;Default scenario;Austria;Emissions|CO2;kg CO2/MWh;2019-01-08 08:00+01:00;762.74
FRESH:COM v2.0;Default scenario;Austria;Emissions|CO2;kg CO2/MWh;2019-01-08 09:00+01:00;758.69
FRESH:COM v2.0;Default scenario;Austria;Emissions|CO2;kg CO2/MWh;2019-01-08 10:00+01:00;750.76
FRESH:COM v2.0;Default scenario;Austria;Emissions|CO2;kg CO2/MWh;2019-01-08 11:00+01:00;723.06
FRESH:COM v2.0;Default scenario;Austria;Emissions|CO2;kg CO2/MWh;2019-01-08 12:00+01:00;745.16
FRESH:COM v2.0;Default scenario;Austria;Emissions|CO2;kg CO2/MWh;2019-01-08 13:00+01:00;755.79
FRESH:COM v2.0;Default scenario;Austria;Emissions|CO2;kg CO2/MWh;2019-01-08 14:00+01:00;763.66
FRESH:COM v2.0;Default scenario;Austria;Emissions|CO2;kg CO2/MWh;2019-01-08 15:00+01:00;762.24
FRESH:COM v2.0;Default scenario;Austria;Emissions|CO2;kg CO2/MWh;2019-01-08 16:00+01:00;745.59
FRESH:COM v2.0;Default scenario;Austria;Emissions|CO2;kg CO2/MWh;2019-01-08 17:00+01:00;704.47
FRESH:COM v2.0;Default scenario;Austria;Emissions|CO2;kg CO2/MWh;2019-01-08 18:00+01:00;697.00
FRESH:COM v2.0;Default scenario;Austria;Emissions|CO2;kg CO2/MWh;2019-01-08 19:00+01:00;726.15
FRESH:COM v2.0;Default scenario;Austria;Emissions|CO2;kg CO2/MWh;2019-01-08 20:00+01:00;747.28
FRESH:COM v2.0;Default scenario;Austria;Emissions|CO2;kg CO2/MWh;2019-01-08 21:00+01:00;760.50
FRESH:COM v2.0;Default scenario;Austria;Emissions|CO2;kg CO2/MWh;2019-01-08 22:00+01:00;759.92
FRESH:COM v2.0;Default scenario;Austria;Emissions|CO2;kg CO2/MWh;2019-01-08 23:00+01:00;761.52
FRESH:COM v2.0;Default scenario;Austria;Emissions|CO2;kg CO2/MWh;2019-01-09 00:00+01:00;755.19
FRESH:COM v2.0;Default scenario;Austria;Emissions|CO2;kg CO2/MWh;2019-01-09 01:00+01:00;753.88
FRESH:COM v2.0;Default scenario;Austria;Emissions|CO2;kg CO2/MWh;2019-01-09 02:00+01:00;751.01
FRESH:COM v2.0;Default scenario;Austria;Emissions|CO2;kg CO2/MWh;2019-01-09 03:00+01:00;747.61
FRESH:COM v2.0;Default scenario;Austria;Emissions|CO2;kg CO2/MWh;2019-01-09 04:00+01:00;742.91
FRESH:COM v2.0;Default scenario;Austria;Emissions|CO2;kg CO2/MWh;2019-01-09 05:00+01:00;738.28
FRESH:COM v2.0;Default scenario;Austria;Emissions|CO2;kg CO2/MWh;2019-01-09 06:00+01:00;727.13
